N,K1_pred,K1_min,K1_max,K1_true,K1_width,K1_contained,K2_pred,K2_min,K2_max,K2_true,K2_width,K2_contained,K3_pred,K3_min,K3_max,K3_true,K3_width,K3_contained
50,0.49668029025394933,0.49279752705285196,0.5022220577649603,0.5000130989410722,0.009424530712108359,100.0,0.50780263569644,0.4941306832683161,0.5368808092318204,0.5001392164275993,0.04275012596350425,100.0,0.5226590501077389,0.5105274055572508,0.5363898582199492,0.5001160779843901,0.025862452662698376,0.0
75,0.49881226326120964,0.4957188670907912,0.5024277499499765,0.5000130989410722,0.006708882859185306,100.0,0.5051936631576378,0.4940385663832975,0.5238413395178904,0.5001392164275993,0.02980277313459284,100.0,0.5164497120884579,0.5079540604519734,0.5258429567789926,0.5001160779843901,0.017888896327019177,0.0
100,0.4987458645596553,0.49624833779845023,0.5013969675510981,0.5000130989410722,0.005148629752647849,100.0,0.5036273276820113,0.4928409118981417,0.5119659966592014,0.5001392164275993,0.019125084761059674,100.0,0.5142809460838303,0.5072938731236911,0.5177711377283883,0.5001160779843901,0.010477264604697223,0.0
150,0.49903070656405657,0.49622390303143404,0.5024679837053947,0.5000130989410722,0.00624408067396065,100.0,0.5022266299381741,0.4953441991294991,0.5066988173115907,0.5001392164275993,0.011354618182091603,100.0,0.5112317506949633,0.506449266343334,0.5154556211220329,0.5001160779843901,0.009006354778698933,0.0
200,0.49933225944689186,0.4965383316327808,0.5023069285379274,0.5000130989410722,0.005768596905146528,100.0,0.5016779645403768,0.4950375387061895,0.5059619436102542,0.5001392164275993,0.010924404904064655,100.0,0.5082605276353971,0.4994809707765821,0.5148164274904635,0.5001160779843901,0.015335456713881424,100.0
400,0.5002911646091389,0.4984197925322357,0.5024574194077398,0.5000130989410722,0.00403762687550413,100.0,0.5030113567140505,0.49931462412180383,0.506353305483577,0.5001392164275993,0.007038681361773214,100.0,0.5060030198379456,0.5011079834751239,0.509465050329839,0.5001160779843901,0.008357066854715156,0.0
600,0.5006370706738655,0.4985648727214381,0.502037927955253,0.5000130989410722,0.0034730552338149145,100.0,0.5031765535981345,0.5011168253413932,0.5055064920975657,0.5001392164275993,0.004389666756172472,0.0,0.5048386230216135,0.5012903650512548,0.5084843561304457,0.5001160779843901,0.007193991079190942,0.0
800,0.5009370709582077,0.4993264169924183,0.5026050620124718,0.5000130989410722,0.0032786450200534833,100.0,0.5028764641611451,0.5002087125049166,0.5055609591850851,0.5001392164275993,0.0053522466801685376,0.0,0.5042877306839936,0.5017621827362853,0.5090325147717493,0.5001160779843901,0.007270332035464011,0.0
1000,0.5009717458201353,0.4990127756316153,0.5021782888178823,0.5000130989410722,0.0031655131862670105,100.0,0.5025610500667808,0.49987826938233804,0.5051840794210984,0.5001392164275993,0.005305810038760406,100.0,0.5039510051884778,0.5007020933466946,0.5075634984692593,0.5001160779843901,0.006861405122564723,0.0
1200,0.501053139931557,0.4997343160853458,0.5027138636235687,0.5000130989410722,0.0029795475382229375,100.0,0.5018678593828593,0.4995341153594164,0.504555709896839,0.5001392164275993,0.005021594537422569,100.0,0.5043582377507386,0.5011794527372921,0.5069242824591167,0.5001160779843901,0.005744829721824551,0.0
1400,0.5011150330737443,0.49956100328599096,0.5024075135160005,0.5000130989410722,0.0028465102300095912,100.0,0.5013832757714562,0.4994873112595226,0.50329347924071,0.5001392164275993,0.0038061679811873805,100.0,0.5049047250794063,0.5015159980633196,0.5070098309282698,0.5001160779843901,0.005493832864950199,0.0
1600,0.501115752683498,0.49955744650488715,0.5026145498401089,0.5000130989410722,0.0030571033352217447,100.0,0.5009686304430752,0.4991608171533666,0.502933264003337,0.5001392164275993,0.0037724468499704678,100.0,0.5057324728107369,0.5025725092769198,0.5075903518196281,0.5001160779843901,0.005017842542708317,0.0
1800,0.5010281963057934,0.4996649123272979,0.502040574096571,0.5000130989410722,0.002375661769273063,100.0,0.5007189934061276,0.4986971226116612,0.5026688643325736,0.5001392164275993,0.003971741720912414,100.0,0.505885913019187,0.5040745676515025,0.507237234695938,0.5001160779843901,0.003162667044435463,0.0
2000,0.5010518516666507,0.5000756482910436,0.502130034395931,0.5000130989410722,0.0020543861048873957,0.0,0.5003505632647137,0.4985905431479061,0.5021692341512369,0.5001392164275993,0.0035786910033308583,100.0,0.5055269836079315,0.5050329632566987,0.5060263030511276,0.5001160779843901,0.000993339794428949,0.0
